title,year,released_at,director,awards,imdb_votes
Bizarre Dinosaurs,2009,11-Oct-09,Jenny Kubo,N/A,47
Blackbeard's Ghost,1968,08-Feb-68,Robert Stevenson,N/A,"4,913"
Blank Check,1994,11-Feb-94,Rupert Wainwright,N/A,"18,277"
Bluey,2018–,09-Sep-19,N/A,4 wins.,949
Boat Builders,1938,25-Feb-38,Ben Sharpsteen,N/A,993
Bolt,2008,21-Nov-08,"Byron Howard, Chris Williams",Nominated for 1 Oscar. Another 1 win & 31 nominations.,"1,82,591"
,,,,,
Bonkers,1993–1994,04-Sep-93,N/A,2 wins.,"1,188"
,,,,,
Boundin',2003,05-Nov-04,"Bud Luckey, Roger Gould(co-director)",Nominated for 1 Oscar. Another 1 win.,"12,312"
Boy Meets World,1993–2000,24-Sep-93,N/A,5 wins & 17 nominations.,"37,279"
Brain Games,2011–,09-Oct-11,N/A,Nominated for 1 Primetime Emmy. Another 2 nominations.,"2,812"
Brave,2012,22-Jun-12,"Mark Andrews, Brenda Chapman, Steve Purcell(co-director)",Won 1 Oscar. Another 19 wins & 48 nominations.,"3,57,239"
The Brave Little Toaster to the Rescue,1997,24-May-99,"Robert C. Ramirez, Patrick A. Ventura",N/A,"1,201"
Breaking2,2017,20-Sep-17,Martin Desmond Roe,N/A,42
,,,,,
Brink!,1998,29-Aug-98,Greg Beeman,1 nomination.,"5,328"
Brother Bear,2003,07-Nov-03,"Aaron Blaise, Robert Walker",Nominated for 1 Oscar. Another 2 wins & 21 nominations.,"92,453"
Brother Bear 2,2006,29-Aug-06,Ben Gluck,2 nominations.,"13,878"
Buffalo Dreams,2005,11-Mar-05,David Jackson,3 nominations.,436
Bug Juice: My Adventures at Camp,2018–,16-Jul-18,N/A,N/A,23
,,,,,
Burn-E,2008,18-Nov-08,Angus MacLane,N/A,"9,708"
Cadet Kelly,2002,08-Mar-02,Larry Shaw,N/A,"12,570"
Camp Nowhere,1994,26-Aug-94,Jonathan Prince,N/A,"8,448"
Camp Rock,2008,20-Jun-08,Matthew Diamond,2 wins & 7 nominations.,"28,782"
Camp Rock 2: The Final Jam,2010,03-Sep-10,Paul Hoen,2 wins & 3 nominations.,"15,387"
Can of Worms,1999,10-Apr-99,Paul Schneider,N/A,756
Candleshoe,1977,16-Dec-77,Norman Tokar,N/A,"3,479"
Canine Caddy,1941,30-May-41,Clyde Geronimi,N/A,269
,,,,,
Cars,2006,09-Jun-06,"John Lasseter, Joe Ranft(co-director)",Nominated for 2 Oscars. Another 28 wins & 32 nominations.,"3,49,674"
Cars 2,2011,24-Jun-11,"John Lasseter, Bradford Lewis(co-director)",Nominated for 1 Golden Globe. Another 1 win & 18 nominations.,"1,50,876"
Cars 3,2017,16-Jun-17,Brian Fee,1 win & 23 nominations.,"68,243"
,,,,,
El Materdor,2008,29-Oct-08,"John Lasseter, Rob Gibbs(co-director), Victor Navone(co-director)",N/A,283
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Moon Mater,2010,02-Nov-10,Rob Gibbs,N/A,178
Rescue Squad Mater,2008,27-Oct-08,"John Lasseter, Rob Gibbs(co-director), Victor Navone(co-director)",N/A,272
Spinning,2013,22-Mar-13,"Jeremy Lasky, Dylan Brown",N/A,56
,,,,,
Time Travel Mater,2012,04-Jun-12,Rob Gibbs,N/A,535
Tokyo Mater,2008,12-Dec-08,"John Lasseter, Rob Gibbs(co-director), Victor Navone(co-director)",N/A,"1,432"
Unidentified Flying Mater,2009,20-Nov-09,"John Lasseter, Rob Gibbs(co-director)",N/A,316
Bugged,2013,22-Mar-13,"Jeremy Lasky, Dylan Brown",N/A,48
Casebusters,1986,25-May-86,Wes Craven,1 nomination.,50
Cheaper by the Dozen,2003,25-Dec-03,Shawn Levy,2 wins & 7 nominations.,"90,580"
Cheetah,1989,18-Aug-89,Jeff Blyth,1 nomination.,801
Chef Donald,1941,05-Dec-41,Jack King,N/A,764
Chicken Little,2005,04-Nov-05,Mark Dindal,4 wins & 15 nominations.,"82,825"
Chip 'n' Dale Rescue Rangers,1988–1990,04-Mar-89,N/A,1 nomination.,"16,431"
Chip an' Dale,1947,28-Nov-47,Jack Hannah,N/A,"1,223"
Cinderella,1950,04-Mar-50,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 3 Oscars. Another 6 wins & 4 nominations.,"1,39,378"
Cinderella 2: Dreams Come True,2001,26-Feb-02,John Kafka,7 nominations.,"9,985"
Cinderella 3: A Twist in Time,2007,06-Feb-07,Frank Nissen,N/A,"8,691"
Clock Cleaners,1937,15-Oct-37,Ben Sharpsteen,N/A,"1,987"
Cloud 9,2014,17-Jan-14,Paul Hoen,N/A,"3,482"
Coco,2017,22-Nov-17,"Lee Unkrich, Adrian Molina(co-director)",Won 2 Oscars. Another 108 wins & 36 nominations.,"3,33,411"
,,,,,
College Road Trip,2008,07-Mar-08,Roger Kumble,1 nomination.,"14,974"
Confessions of a Teenage Drama Queen,2004,20-Feb-04,Sara Sugarman,1 win.,"26,686"
Continent 7: Antarctica,2016,15-Nov-16,N/A,N/A,93
Cool Runnings,1993,01-Oct-93,Jon Turteltaub,2 wins & 2 nominations.,"88,123"
Coop and Cami Ask the World,2018–,N/A,N/A,N/A,267
,,,,,
Corn Chips,1951,23-Mar-51,Jack Hannah,N/A,483
Cow Belles,2006,24-Mar-06,Francine McDougall,N/A,"5,625"
Crash & Bernstein,2012–2014,01-Oct-12,N/A,N/A,599
Dadnapped,2009,16-Feb-09,Paul Hoen,N/A,"2,634"
Darby O'Gill and the Little People,1959,22-Jun-60,Robert Stevenson,N/A,"6,664"
Darkwing Duck,1991–1992,06-Sep-91,N/A,1 win & 11 nominations.,"13,689"
Davy Crockett and the River Pirates,1956,18-Jul-56,Norman Foster,N/A,"1,585"
Davy Crockett: King of the Wild Frontier,1955,25-May-55,Norman Foster,N/A,"3,316"
Day & Night,2010,18-Jun-10,Teddy Newton,Nominated for 1 Oscar. Another 3 wins.,"16,108"
Decorating Disney: Holiday Magic,2017,18-Dec-17,N/A,N/A,40
Deep Blue,2003,29-Jan-04,"Andy Byatt, Alastair Fothergill",N/A,"2,791"
Descendants 2,2017,21-Jul-17,Kenny Ortega,3 nominations.,"7,218"
Descendants 3,2019,02-Aug-19,Kenny Ortega,2 nominations.,"4,072"
Destino,2003,05-Aug-03,Dominique Monfery,Nominated for 1 Oscar. Another 6 wins & 1 nomination.,"3,695"
Diana: In Her Own Words,2017,14-Aug-17,"Tom Jennings, David Tillman",2 wins.,"1,291"
Diary of a Future President,2020–,17-Jan-20,N/A,N/A,333
Diary of a Wimpy Kid,2010,19-Mar-10,Thor Freudenthal,5 wins & 9 nominations.,"40,808"
Dinosaur,2000,19-May-00,"Eric Leighton, Ralph Zondag",4 wins & 21 nominations.,"50,895"
Adventures in Babysitting,2016,17-Jun-16,John Schultz,2 nominations.,"2,582"
Amphibia,2019–,14-Jun-19,N/A,N/A,912
Avalon High,2010,12-Nov-10,Stuart Gillard,1 win & 3 nominations.,"5,133"
Bad Hair Day,2015,13-Feb-15,Erik Canuel,N/A,"2,363"
Big Hero 6: The Series,2017–,20-Nov-17,N/A,Nominated for 1 Primetime Emmy. Another 1 win & 3 nominations.,"1,154"
Bizaardvark,2016–2019,24-Jun-16,N/A,2 wins & 7 nominations.,"1,565"
Den Brother,2010,13-Aug-10,Mark L. Taylor,N/A,"1,666"
Descendants,2015,31-Jul-15,Kenny Ortega,Nominated for 1 Primetime Emmy. Another 2 wins & 2 nominations.,"14,470"
Descendants: Wicked World,2015–,18-Sep-15,N/A,1 nomination.,707
,,,,,
The Evermoor Chronicles,2014–,17-Oct-14,N/A,1 nomination.,396
